MO_001	ERS1308804_N0086449_2
MO_002	SRS584256_N0035286_3
MO_003	CAMPEP_0196899288 ORGANISM="Symbiodinium sp. clade A"
MO_004	ERS491289_N0038291_2
MO_005	CAMPEP_0118379574 ORGANISM="Lingulodinium polyedra"
MO_006	ERS489134_N0016214_4
MO_007	SRS584256_N0095050_1
MO_008	ERS491289_N0015666_2
MO_009	ERS489303_N0000780_4
MO_010	ERS491962_N0012854_2
MO_011	SRR6869042_N0143378_1
MO_012	SRS3210455_N0101293_1
MO_013	ERS1308420_N0023362_2
MO_014	ERS2026536_N0028474_2
MO_015	SRS3235209_N0311426_2
MO_016	SRS1525454_N0010089_4
MO_017	SRS4997410_N0044297_1
MO_018	CAMPEP_0119305158 ORGANISM="Scyphosphaera apsteinii"
MO_019	CAMPEP_0181443216 ORGANISM="Symbiodinium sp. CCMP421"
MO_020	UPI0012455D5B bacteriorhodopsin Microbacterium testaceum
MO_021	ERS488486_N0097160_4
MO_022	CAMPEP_0115192526 ORGANISM="Scrippsiella trochoidea"
MO_023	CAMPEP_0198102640 ORGANISM="Heterocapsa arctica"
MO_024	ERS1309432_N0077523_2
MO_025	UPI000F83BAA2 Nonlabens ponticola
MO_026	SRS4762345_N0024085_2
MO_027	ERS1309291_N0168092_1
MO_028	UPI0002A0EC48 Guillardia theta CCMP2712
