query_id,hit_id,hit_accession,hit_def,identity_percent,coverage_percent,evalue,bit_score,align_len,gaps
RHO_BOVIN,sp|P02699.1|,P02699,RecName: Full=Rhodopsin [Bos taurus],100.0,100.0,0.0,718.768,348,0
RHO_BOVIN,sp|P02700.2|,P02700,RecName: Full=Rhodopsin [Ovis aries],96.26436781609196,100.0,0.0,691.804,348,0
RHO_BOVIN,sp|Q95KU1.1|,Q95KU1,RecName: Full=Rhodopsin [Felis catus],95.11494252873564,100.0,0.0,687.952,348,0
RHO_BOVIN,sp|Q769E8.1|,Q769E8,RecName: Full=Rhodopsin [Otolemur crassicaudatus],93.96551724137932,100.0,0.0,682.559,348,0
RHO_BOVIN,sp|P15409.2|,P15409,RecName: Full=Rhodopsin [Mus musculus],93.39080459770115,100.0,0.0,679.093,348,0
RHO_BOVIN,sp|O62794.1|,O62794,RecName: Full=Rhodopsin [Phoca vitulina],93.39080459770115,100.0,0.0,678.707,348,0
RHO_BOVIN,sp|P49912.1|,P49912,RecName: Full=Rhodopsin [Oryctolagus cuniculus],92.81609195402298,100.0,0.0,678.707,348,0
RHO_BOVIN,sp|P51489.1|,P51489,RecName: Full=Rhodopsin [Rattus norvegicus],93.39080459770115,100.0,0.0,678.322,348,0
RHO_BOVIN,sp|Q28886.1|,Q28886,RecName: Full=Rhodopsin [Macaca fascicularis],93.39080459770115,100.0,0.0,677.937,348,0
RHO_BOVIN,sp|Q6W3E1.1|,Q6W3E1,RecName: Full=Rhodopsin [Caluromys philander],93.10344827586206,100.0,0.0,677.552,348,0
RHO_BOVIN,sp|O62798.1|,O62798,RecName: Full=Rhodopsin [Tursiops truncatus],91.95402298850574,100.0,0.0,676.781,348,0
RHO_BOVIN,sp|P28681.1|,P28681,RecName: Full=Rhodopsin [Cricetulus griseus],92.81609195402298,100.0,0.0,676.396,348,0
RHO_BOVIN,sp|O62791.1|,O62791,RecName: Full=Rhodopsin [Delphinus delphis],92.24137931034483,100.0,0.0,676.011,348,0
RHO_BOVIN,sp|O62795.1|,O62795,RecName: Full=Rhodopsin [Phoca groenlandica],93.10344827586206,100.0,0.0,675.626,348,0
RHO_BOVIN,sp|O62792.1|,O62792,RecName: Full=Rhodopsin [Globicephala melas],91.95402298850574,100.0,0.0,674.47,348,0
RHO_BOVIN,sp|O62793.1|,O62793,RecName: Full=Rhodopsin [Mesoplodon bidens],90.51724137931035,100.0,0.0,671.003,348,0
RHO_BOVIN,sp|Q68J47.1|,Q68J47,RecName: Full=Rhodopsin [Loxodonta africana],91.95402298850574,100.0,0.0,669.078,348,0
RHO_BOVIN,sp|O18766.1|,O18766,RecName: Full=Rhodopsin [Sus scrofa],93.96551724137932,100.0,0.0,666.381,348,0
RHO_BOVIN,sp|P32308.1|,P32308,RecName: Full=Rhodopsin [Canis lupus familiaris],94.25287356321839,100.0,0.0,664.455,348,0
RHO_BOVIN,sp|P08100.1|,P08100,RecName: Full=Rhodopsin; AltName: Full=Opsin-2 [Homo sapiens],93.39080459770115,100.0,0.0,658.677,348,0
RHO_BOVIN,sp|O62796.1|,O62796,RecName: Full=Rhodopsin [Trichechus manatus],92.52873563218391,100.0,0.0,653.284,348,0
RHO_BOVIN,sp|Q8HY69.2|,Q8HY69,RecName: Full=Rhodopsin [Sminthopsis crassicaudata],89.08045977011494,100.0,0.0,652.514,348,0
RHO_BOVIN,sp|P52202.1|,P52202,RecName: Full=Rhodopsin [Alligator mississippiensis],86.80351906158357,97.98850574712644,0.0,625.935,341,1
RHO_BOVIN,sp|P22328.1|,P22328,RecName: Full=Rhodopsin [Gallus gallus],87.09677419354838,97.98850574712644,0.0,624.394,341,2
RHO_BOVIN,sp|P31355.1|,P31355,RecName: Full=Rhodopsin [Lithobates pipiens],83.61581920903954,100.0,0.0,620.928,354,6
RHO_BOVIN,sp|P51470.1|,P51470,RecName: Full=Rhodopsin [Aquarana catesbeiana],83.61581920903954,100.0,0.0,620.928,354,6
RHO_BOVIN,sp|P56516.1|,P56516,RecName: Full=Rhodopsin [Rana temporaria],83.61581920903954,100.0,0.0,618.231,354,6
RHO_BOVIN,sp|Q90245.1|,Q90245,RecName: Full=Rhodopsin [Ambystoma tigrinum],84.50292397660819,97.98850574712644,0.0,617.076,342,1
RHO_BOVIN,sp|P56515.1|,P56515,RecName: Full=Rhodopsin [Rhinella marina],84.50292397660819,97.98850574712644,0.0,614.379,342,1
RHO_BOVIN,sp|Q90215.1|,Q90215,"RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]",83.91812865497076,97.98850574712644,0.0,606.29,342,1
RHO_BOVIN,sp|P56514.1|,P56514,RecName: Full=Rhodopsin [Bufo bufo],82.45614035087719,97.98850574712644,0.0,605.52,342,1
RHO_BOVIN,sp|P29403.1|,P29403,RecName: Full=Rhodopsin [Xenopus laevis],81.87134502923976,97.98850574712644,0.0,605.134,342,1
RHO_BOVIN,sp|P35359.2|,P35359,RecName: Full=Rhodopsin [Danio rerio],83.62573099415205,97.98850574712644,0.0,602.438,342,1
RHO_BOVIN,sp|P41591.1|,P41591,RecName: Full=Rhodopsin [Anolis carolinensis],80.68181818181817,100.0,0.0,598.586,352,4
RHO_BOVIN,sp|O93459.1|,O93459,RecName: Full=Rhodopsin [Scyliorhinus canicula],79.94350282485875,100.0,0.0,595.504,354,6
RHO_BOVIN,sp|Q90214.1|,Q90214,"RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]",80.99415204678363,97.98850574712644,0.0,595.504,342,1
RHO_BOVIN,sp|O13227.1|,O13227,RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger],81.26801152737752,99.42528735632183,0.0,594.349,347,3
RHO_BOVIN,sp|Q9YH00.1|,Q9YH00,RecName: Full=Rhodopsin [Lithognathus mormyrus],80.05865102639295,97.98850574712644,0.0,588.956,341,0
RHO_BOVIN,sp|Q9YH04.1|,Q9YH04,RecName: Full=Rhodopsin [Diplodus vulgaris],79.76539589442815,97.98850574712644,0.0,587.03,341,0
RHO_BOVIN,sp|O93441.1|,O93441,RecName: Full=Rhodopsin [Galeus melastomus],80.7017543859649,97.98850574712644,0.0,586.645,342,1
RHO_BOVIN,sp|Q9YH02.1|,Q9YH02,RecName: Full=Rhodopsin [Sparus aurata],79.17888563049853,97.98850574712644,0.0,585.874,341,0
RHO_BOVIN,sp|Q9YGZ0.1|,Q9YGZ0,RecName: Full=Rhodopsin [Sardina pilchardus],79.13043478260869,99.13793103448276,0.0,585.489,345,0
RHO_BOVIN,sp|Q9YH05.1|,Q9YH05,RecName: Full=Rhodopsin [Diplodus annularis],79.76539589442815,97.98850574712644,0.0,585.104,341,0
RHO_BOVIN,sp|P79863.1|,P79863,RecName: Full=Rhodopsin [Leucoraja erinaceus],77.96610169491525,100.0,0.0,584.719,354,6
RHO_BOVIN,sp|Q9YH03.1|,Q9YH03,RecName: Full=Rhodopsin [Sarpa salpa],79.17888563049853,97.98850574712644,0.0,584.719,341,0
RHO_BOVIN,sp|Q9YGZ9.1|,Q9YGZ9,RecName: Full=Rhodopsin [Mugil cephalus],79.17888563049853,97.98850574712644,0.0,583.563,341,0
RHO_BOVIN,sp|P51488.1|,P51488,RecName: Full=Rhodopsin [Cyprinus carpio],80.4093567251462,97.98850574712644,0.0,583.178,342,1
RHO_BOVIN,sp|Q9YGZ6.1|,Q9YGZ6,RecName: Full=Rhodopsin [Chelon auratus],78.2991202346041,97.98850574712644,0.0,582.022,341,0
RHO_BOVIN,sp|Q9YGZ7.1|,Q9YGZ7,RecName: Full=Rhodopsin [Chelon saliens],78.88563049853371,97.98850574712644,0.0,581.637,341,0
RHO_BOVIN,sp|Q9DGG4.1|,Q9DGG4,RecName: Full=Rhodopsin [Tetraodon nigroviridis],78.2991202346041,97.98850574712644,0.0,580.482,341,0
RHO_BOVIN,sp|Q9YGZ4.1|,Q9YGZ4,RecName: Full=Rhodopsin [Dicentrarchus labrax],78.88563049853371,97.98850574712644,0.0,580.096,341,0
RHO_BOVIN,sp|P32309.1|,P32309,RecName: Full=Rhodopsin [Carassius auratus],79.53216374269006,97.98850574712644,0.0,579.326,342,1
RHO_BOVIN,sp|P41590.1|,P41590,RecName: Full=Rhodopsin [Psalidodon fasciatus],80.4093567251462,97.98850574712644,0.0,578.17,342,1
RHO_BOVIN,sp|Q9YGZ8.1|,Q9YGZ8,RecName: Full=Rhodopsin [Chelon labrosus],78.00586510263929,97.98850574712644,0.0,577.785,341,0
RHO_BOVIN,sp|P22671.1|,P22671,RecName: Full=Rhodopsin [Lethenteron camtschaticum],80.35190615835776,97.98850574712644,0.0,577.4,341,0
RHO_BOVIN,sp|O42604.1|,O42604,RecName: Full=Rhodopsin [Zeus faber],78.94736842105263,97.98850574712644,0.0,577.015,342,1
RHO_BOVIN,sp|P87369.1|,P87369,RecName: Full=Rhodopsin; AltName: Full=KFH-RH [Oryzias latipes],78.94736842105263,97.98850574712644,0.0,575.859,342,1
RHO_BOVIN,sp|Q9YH01.1|,Q9YH01,RecName: Full=Rhodopsin [Mullus surmuletus],77.77777777777779,97.98850574712644,0.0,574.318,342,1
RHO_BOVIN,sp|Q9YGZ5.1|,Q9YGZ5,RecName: Full=Rhodopsin [Solea solea],78.2991202346041,97.98850574712644,0.0,574.318,341,0
RHO_BOVIN,sp|P79848.1|,P79848,RecName: Full=Rhodopsin [Poecilia reticulata],77.19298245614034,97.98850574712644,0.0,571.237,342,1
RHO_BOVIN,sp|Q9YGZ1.1|,Q9YGZ1,RecName: Full=Rhodopsin [Atherina boyeri],78.94736842105263,97.98850574712644,0.0,571.237,342,1
RHO_BOVIN,sp|Q9YGZ3.1|,Q9YGZ3,RecName: Full=Rhodopsin [Salaria pavo],78.3625730994152,97.98850574712644,0.0,570.466,342,1
RHO_BOVIN,sp|Q9YGZ2.1|,Q9YGZ2,RecName: Full=Rhodopsin [Gobius niger],78.59237536656892,97.98850574712644,0.0,570.081,341,1
RHO_BOVIN,sp|Q9YGY9.1|,Q9YGY9,RecName: Full=Rhodopsin [Zosterisessor ophiocephalus],77.71260997067448,97.98850574712644,0.0,566.614,341,1
RHO_BOVIN,sp|P79756.1|,P79756,RecName: Full=Rhodopsin [Gambusia affinis],76.60818713450293,97.98850574712644,0.0,565.459,342,1
RHO_BOVIN,sp|P79812.1|,P79812,RecName: Full=Rhodopsin [Neoniphon sammara],76.83284457478005,97.98850574712644,0.0,559.296,341,0
RHO_BOVIN,sp|P79898.1|,P79898,RecName: Full=Rhodopsin [Sargocentron diadema],75.95307917888563,97.98850574712644,0.0,555.444,341,0
RHO_BOVIN,sp|P79807.1|,P79807,RecName: Full=Rhodopsin [Myripristis violacea],76.92307692307693,97.12643678160919,0.0,555.058,338,1
RHO_BOVIN,sp|P79808.1|,P79808,RecName: Full=Rhodopsin [Neoniphon argenteus],76.33136094674556,97.12643678160919,0.0,553.518,338,0
RHO_BOVIN,sp|P79798.1|,P79798,RecName: Full=Rhodopsin [Myripristis berndti],77.2189349112426,97.12643678160919,0.0,553.518,338,1
RHO_BOVIN,sp|Q98980.1|,Q98980,RecName: Full=Rhodopsin [Petromyzon marinus],80.35190615835776,97.98850574712644,0.0,552.362,341,0
RHO_BOVIN,sp|P79901.1|,P79901,RecName: Full=Rhodopsin [Sargocentron microstoma],76.03550295857988,97.12643678160919,0.0,551.977,338,0
RHO_BOVIN,sp|P79914.1|,P79914,RecName: Full=Rhodopsin [Sargocentron xantherythrum],75.44378698224851,97.12643678160919,0.0,549.666,338,0
RHO_BOVIN,sp|P79902.1|,P79902,RecName: Full=Rhodopsin [Sargocentron punctatissimum],74.85207100591717,97.12643678160919,0.0,548.51,338,0
RHO_BOVIN,sp|P79911.1|,P79911,RecName: Full=Rhodopsin [Sargocentron tiere],74.92625368731564,97.12643678160919,0.0,544.658,339,3
RHO_BOVIN,sp|P35403.1|,P35403,RecName: Full=Rhodopsin [Pomatoschistus minutus],77.41935483870968,97.98850574712644,0.0,543.888,341,1
RHO_BOVIN,sp|P79903.1|,P79903,RecName: Full=Rhodopsin [Sargocentron spiniferum],74.63126843657817,97.12643678160919,0.0,543.502,339,3
RHO_BOVIN,sp|P79809.1|,P79809,RecName: Full=Rhodopsin [Neoniphon aurolineatus],74.33628318584071,97.12643678160919,0.0,542.732,339,3
RHO_BOVIN,sp|P28683.1|,P28683,RecName: Full=Green-sensitive opsin; AltName: Full=Green cone photoreceptor pigment [Gallus gallus],71.13702623906705,98.5632183908046,0.0,536.954,343,0
RHO_BOVIN,sp|Q9W6A6.2|,Q9W6A6,RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Fu,71.91977077363897,100.0,0.0,533.487,349,1
RHO_BOVIN,sp|P35357.1|,P35357,RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko],69.01408450704226,100.0,0.0,529.25,355,7
RHO_BOVIN,sp|P51471.1|,P51471,RecName: Full=Blue-sensitive opsin; AltName: Full=Blue photoreceptor pigment; AltName: Full=RH2 opsi,69.09620991253644,98.5632183908046,0.0,528.48,343,0
RHO_BOVIN,sp|Q8AYM7.1|,Q8AYM7,RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3; AltName: Fu,69.62750716332378,100.0,0.0,523.472,349,1
RHO_BOVIN,sp|P32311.1|,P32311,RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Carassius a,72.20630372492836,100.0,0.0,519.62,349,1
RHO_BOVIN,sp|O42268.1|,O42268,RecName: Full=Rhodopsin [Ictalurus punctatus],79.20792079207921,87.06896551724138,0.0,517.694,303,0
RHO_BOVIN,sp|P32312.1|,P32312,RecName: Full=Green-sensitive opsin-2; AltName: Full=Green cone photoreceptor pigment 2 [Carassius a,71.06017191977078,100.0,0.0,512.686,349,1
RHO_BOVIN,sp|Q8AYM8.1|,Q8AYM8,RecName: Full=Green-sensitive opsin-2; AltName: Full=Green cone photoreceptor pigment 2; AltName: Fu,67.0487106017192,100.0,1.58337e-177,498.819,349,1
RHO_BOVIN,sp|Q9W6A5.2|,Q9W6A5,RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1; AltName: Fu,67.0487106017192,100.0,2.81835e-176,495.738,349,1
RHO_BOVIN,sp|O42330.1|,O42330,RecName: Full=Rhodopsin [Cottocomephorus inermis],77.85467128027682,83.04597701149426,2.5608e-174,488.419,289,0
RHO_BOVIN,sp|O42294.1|,O42294,RecName: Full=Rhodopsin [Abyssocottus korotneffi],78.89273356401384,83.04597701149426,3.11892e-174,488.034,289,0
RHO_BOVIN,sp|O42451.1|,O42451,RecName: Full=Rhodopsin [Procottus jettelesii],78.54671280276817,83.04597701149426,7.91334e-174,487.263,289,0
RHO_BOVIN,sp|P51474.1|,P51474,RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon ,67.63005780346822,99.42528735632183,1.85804e-172,486.108,346,0
RHO_BOVIN,sp|O42300.1|,O42300,RecName: Full=Rhodopsin [Batrachocottus multiradiatus],78.20069204152249,83.04597701149426,3.07029e-172,483.026,289,0
RHO_BOVIN,sp|O42307.1|,O42307,RecName: Full=Rhodopsin [Cottinella boulengeri],77.85467128027682,83.04597701149426,4.70645e-172,482.641,289,0
RHO_BOVIN,sp|O42327.1|,O42327,RecName: Full=Rhodopsin [Comephorus dybowskii],76.8166089965398,83.04597701149426,7.13592e-172,482.256,289,0
RHO_BOVIN,sp|O42301.1|,O42301,RecName: Full=Rhodopsin [Batrachocottus nikolskii],77.50865051903114,83.04597701149426,1.16816e-171,481.485,289,0
RHO_BOVIN,sp|O42452.1|,O42452,RecName: Full=Rhodopsin [Paracottus knerii],77.16262975778547,83.04597701149426,1.18782e-169,476.478,289,0
RHO_BOVIN,sp|O42427.1|,O42427,RecName: Full=Rhodopsin [Limnocottus bergianus],77.85467128027682,83.04597701149426,2.12244e-169,476.093,289,0
RHO_BOVIN,sp|O42431.1|,O42431,RecName: Full=Rhodopsin [Limnocottus pallidus],76.47058823529412,83.04597701149426,6.37875e-167,469.544,289,0
RHO_BOVIN,sp|Q90373.1|,Q90373,RecName: Full=Rhodopsin [Leocottus kesslerii],75.77854671280276,83.04597701149426,1.78016e-165,466.077,289,0
