rank,design,seq,theozyme_rmsd,n_atoms,tz_plddt,global_plddt,cif
1,2,1,2.0513,24,68.7,87.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
2,11,1,2.0959,21,55.5,85.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
3,31,2,2.2840,23,60.5,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
4,2,4,2.3355,24,70.3,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
5,47,7,2.3596,23,60.9,89.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
6,6,6,2.4352,24,72.1,91.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
7,45,7,2.4633,21,65.7,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
8,9,5,2.6071,24,47.3,79.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
9,22,7,2.6709,24,67.1,85.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
10,6,1,2.6813,24,64.5,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
11,38,2,2.6833,24,69.0,83.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
12,31,4,2.6997,24,62.9,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
13,2,3,2.7147,24,80.4,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
14,1,0,2.7163,24,59.5,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
15,16,7,2.7356,24,59.0,88.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_16-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
16,41,1,2.7525,20,46.1,80.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
17,22,6,2.7662,24,80.9,90.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
18,2,2,2.8417,24,61.5,86.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
19,22,0,2.8710,24,72.3,86.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
20,29,6,2.8851,24,57.0,86.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
21,10,7,2.9185,24,62.2,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
22,49,4,2.9235,24,74.5,90.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
23,19,0,2.9877,24,54.4,78.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
24,28,4,3.0153,24,68.8,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
25,2,5,3.0168,24,57.0,86.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
26,12,7,3.0514,24,59.9,88.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
27,2,6,3.0563,24,67.8,88.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
28,41,0,3.0693,24,54.0,84.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
29,43,0,3.1075,24,65.2,88.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
30,7,0,3.1155,24,59.5,85.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_7-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
31,40,7,3.1196,24,60.5,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
32,33,1,3.1327,24,58.5,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
33,29,7,3.1502,24,61.2,85.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
34,1,2,3.1756,24,56.5,84.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
35,6,2,3.1955,24,58.2,88.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
36,13,5,3.2151,24,71.4,91.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
37,40,6,3.2269,24,60.0,87.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
38,12,6,3.2527,24,76.6,91.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
39,43,4,3.2633,24,66.8,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
40,8,7,3.2635,24,63.4,82.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
41,39,2,3.2654,24,57.2,86.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_39-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
42,13,7,3.2682,24,72.4,92.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
43,41,5,3.2768,24,53.0,82.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
44,1,6,3.2806,24,56.3,83.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
45,14,2,3.2874,24,72.0,89.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
46,19,1,3.2957,24,63.2,82.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
47,25,6,3.3062,24,61.6,87.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
48,28,3,3.3167,24,65.0,87.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
49,14,0,3.3214,24,72.1,90.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
50,40,2,3.3221,24,62.5,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
51,28,1,3.3305,24,62.6,91.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
52,19,2,3.3338,24,55.2,80.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
53,2,7,3.3505,23,70.3,87.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
54,11,4,3.3560,24,62.6,85.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
55,38,6,3.3568,24,67.6,83.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
56,8,5,3.3681,24,71.7,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
