query_id,hit_id,hit_accession,hit_def,identity_percent,coverage_percent,evalue,bit_score,align_len,gaps,query_gene,opsin_type,query_lambda_max
OPSB_HUMAN,sp|P60015.1|,P60015,RecName: Full=Short-wave-sensitive opsin 1; AltName: Full=Blue cone photoreceptor pigment; AltName: ,100.0,100.0,0.0,711.064,345,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P03999.2|,P03999,RecName: Full=Short-wave-sensitive opsin 1; AltName: Full=Blue cone photoreceptor pigment; AltName: ,100.0,100.0,0.0,710.679,345,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|O13092.1|,O13092,RecName: Full=Short-wave-sensitive opsin 1; AltName: Full=Blue cone photoreceptor pigment; AltName: ,92.15116279069767,99.71014492753623,0.0,661.374,344,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|Q63652.2|,Q63652,RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pig,87.17201166180757,99.42028985507247,0.0,628.246,343,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P51491.1|,P51491,RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pig,86.0058309037901,99.42028985507247,0.0,625.935,343,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P51490.1|,P51490,RecName: Full=Short-wave-sensitive opsin 1; AltName: Full=Blue cone photoreceptor pigment; AltName: ,86.04651162790698,99.71014492753623,0.0,623.239,344,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|O57605.1|,O57605,RecName: Full=Ultraviolet-sensitive opsin; AltName: Full=Ultraviolet cone photoreceptor pigment [Mel,82.83132530120481,95.94202898550725,0.0,581.252,332,1,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P28684.1|,P28684,RecName: Full=Violet-sensitive opsin; AltName: Full=Violet cone opsin; AltName: Full=Violet cone pho,80.28985507246377,99.71014492753623,0.0,574.318,345,1,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P51473.1|,P51473,RecName: Full=Violet-sensitive opsin; AltName: Full=Violet cone opsin; AltName: Full=Violet cone pho,77.5,92.7536231884058,0.0,537.339,320,0,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P87368.1|,P87368,RecName: Full=Putative violet-sensitive opsin; AltName: Full=KFH-V; AltName: Full=Violet cone photor,63.96396396396396,96.52173913043478,9.92837e-155,440.269,333,3,OPN1SW,short_wave,420
OPSB_HUMAN,sp|Q9W6A9.2|,Q9W6A9,"RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone pho",63.44410876132931,95.94202898550725,4.71658e-154,438.728,331,2,OPN1SW,short_wave,420
OPSB_HUMAN,sp|Q90309.1|,Q90309,RecName: Full=Ultraviolet-sensitive opsin; AltName: Full=Ultraviolet cone photoreceptor pigment [Car,63.36336336336337,96.52173913043478,7.51803e-148,422.935,333,2,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P32310.1|,P32310,RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Carassius auratus,49.127906976744185,98.26086956521739,4.16019e-119,350.517,344,5,OPN1SW,short_wave,420
OPSB_HUMAN,sp|P87365.1|,P87365,RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=KFH,49.702380952380956,97.3913043478261,5.0328e-111,330.102,336,5,OPN1SW,short_wave,420
