,sp|P60015.1|OPSB_PANTR,sp|P03999.2|OPSB_HUMAN,sp|O13092.1|OPSB_SAIBB,sp|Q63652.2|OPSB_RAT,sp|P51491.1|OPSB_MOUSE,sp|P51490.1|OPSB_BOVIN,sp|O57605.1|OPSUV_MELUD,sp|P28684.1|OPSV_CHICK,sp|P51473.1|OPSV_XENLA,sp|P87368.1|OPSV_ORYLA,sp|Q9W6A9.2|OP1S1_DANRE,sp|Q90309.1|OPSUV_CARAU,sp|P32310.1|OPSB_CARAU,sp|P87365.1|OPSB_ORYLA,sp|Q8AYM7.1|OPSG3_DANRE,sp|Q9W6A6.2|OPSG4_DANRE,sp|Q8HY69.2|OPSD_SMICR,sp|P28682.1|OPSB_CHICK,sp|P56516.1|OPSD_RANTE,sp|P51476.1|OPSP_COLLI,sp|P51472.1|OPSB_PSAFA,sp|Q8AYM8.1|OPSG2_DANRE,sp|Q9W6A8.1|OP1S2_DANRE,sp|P35357.1|OPSB_GEKGE,sp|P51470.1|OPSD_AQUCT,sp|Q9W6A5.2|OPSG1_DANRE,sp|P41591.1|OPSD_ANOCA,sp|P31355.1|OPSD_LITPI,sp|Q90245.1|OPSD_AMBTI,sp|O93441.1|OPSD_GALML,sp|O93459.1|OPSD_SCYCA,sp|P28683.1|OPSG_CHICK,sp|P51489.1|OPSD_RAT,sp|O13227.1|OPSB_CONCO,sp|P32311.1|OPSG1_CARAU,sp|P49912.1|OPSD_RABIT,sp|Q28886.1|OPSD_MACFA,sp|O62795.1|OPSD_PAGGO,sp|P52202.1|OPSD_ALLMI,sp|O62794.1|OPSD_PHOVI,sp|Q769E8.1|OPSD_OTOCR,sp|P02699.1|OPSD_BOVIN,sp|Q68J47.1|OPSD_LOXAF,sp|Q95KU1.1|OPSD_FELCA,sp|O62791.1|OPSD_DELDE,sp|P32312.1|OPSG2_CARAU,sp|P15409.2|OPSD_MOUSE,sp|P22328.1|OPSD_CHICK,sp|Q6W3E1.1|OPSD_CALPD,sp|P51471.1|OPSB_ANOCA,sp|P28681.1|OPSD_CRIGR,sp|P56515.1|OPSD_RHIMB,sp|O62793.1|OPSD_MESBI,sp|P79863.1|OPSD_LEUER,sp|P56514.1|OPSD_BUFBU,sp|O62798.1|OPSD_TURTR,sp|Q90214.1|OPSD1_ANGAN,sp|P22671.1|OPSD_LETCA,sp|P08100.1|OPSD_HUMAN,sp|O62792.1|OPSD_GLOME,sp|P02700.2|OPSD_SHEEP,sp|O18766.1|OPSD_PIG,sp|Q9YGZ0.1|OPSD_SARPI,sp|P29403.1|OPSD_XENLA,sp|P79807.1|OPSD_MYRVI,sp|P79898.1|OPSD_SARDI,sp|P32308.1|OPSD_CANLF,sp|O42604.1|OPSD_ZEUFA,sp|P79914.1|OPSD_SARXA,sp|P79911.1|OPSD_SARTI,sp|O62796.1|OPSD_TRIMA,sp|P51474.1|OPSG3_PSAFA,sp|P79901.1|OPSD_SARMI,sp|P79798.1|OPSD_MYRBE,sp|P79902.1|OPSD_SARPU,sp|P79808.1|OPSD_NEOAR,sp|P79809.1|OPSD_NEOAU,sp|P79903.1|OPSD_SARSP,sp|P51488.1|OPSD_CYPCA,sp|P79812.1|OPSD_NEOSA,sp|Q9YGY9.1|OPSD_ZOSOP,sp|Q9YGZ2.1|OPSD_GOBNI,sp|P41590.1|OPSD_PSAFA,sp|P51475.1|OPSP_CHICK,sp|P32309.1|OPSD_CARAU,sp|Q9R024.1|OPSG_CAVPO,sp|P87369.1|OPSD_ORYLA,sp|P34989.1|OPSL_CALJA,sp|Q9YH05.1|OPSD_DIPAN,sp|Q9YGZ8.1|OPSD_CHELB,sp|Q9YGZ5.1|OPSD_SOLSO,sp|O35476.2|OPSG_RAT,sp|Q9DGG4.1|OPSD_TETNG,sp|Q9YGZ3.1|OPSD_SALPV,sp|P35359.2|OPSD_DANRE,sp|P79848.1|OPSD_POERE,sp|O35599.1|OPSG_MOUSE,sp|O35478.2|OPSG_SCICA,sp|Q9YGZ6.1|OPSD_CHEAU,sp|Q98980.1|OPSD_PETMA,sp|P04000.2|OPSR_HUMAN,sp|P04001.1|OPSG_HUMAN,sp|O18913.2|OPSR_FELCA,sp|O18912.2|OPSR_HORSE,sp|Q9BGI7.1|OPSR_BOVIN,sp|Q95170.1|OPSR_CAPHI,sp|O18914.2|OPSR_CANLF,sp|O18910.2|OPSG_RABIT,sp|P41592.1|OPSR_ANOCA,sp|P22329.1|OPSR_CHICK,sp|P87367.1|OPSR_ORYLA,sp|P32313.1|OPSR_CARAU,sp|O12948.1|OPSR_XENLA,sp|Q9W6A7.1|OPSR1_DANRE,sp|P22332.2|OPSR_PSAFA,sp|Q8AYN0.1|OPSR2_DANRE,sp|P35358.1|OPSG_GEKGE,sp|P22331.1|OPSG2_PSAFA,sp|P22330.1|OPSG1_PSAFA,sp|O18911.1|OPSG_ODOVI,sp|Q90215.1|OPSD2_ANGAN,sp|P79756.1|OPSD_GAMAF,sp|O42490.1|OPSP_PETMA
sp|P60015.1|OPSB_PANTR,0.0,0.02300000000000002,0.09799999999999998,0.12,0.123,0.137,0.16000000000000003,0.17900000000000005,0.20299999999999996,0.33499999999999996,0.345,0.34199999999999997,0.46599999999999997,0.46099999999999997,0.469,0.472,0.488,0.46599999999999997,0.501,0.45199999999999996,0.46299999999999997,0.478,0.475,0.479,0.49,0.479,0.492,0.509,0.489,0.498,0.503,0.477,0.502,0.505,0.471,0.508,0.504,0.504,0.497,0.505,0.506,0.508,0.506,0.507,0.508,0.475,0.506,0.501,0.508,0.485,0.507,0.499,0.509,0.513,0.502,0.515,0.507,0.489,0.502,0.517,0.515,0.504,0.52,0.492,0.505,0.52,0.507,0.499,0.5,0.518,0.508,0.482,0.502,0.517,0.518,0.504,0.518,0.52,0.515,0.526,0.521,0.523,0.503,0.46699999999999997,0.515,0.516,0.51,0.526,0.5329999999999999,0.532,0.5329999999999999,0.52,0.532,0.532,0.527,0.5329999999999999,0.521,0.519,0.5329999999999999,0.49,0.526,0.523,0.524,0.538,0.532,0.536,0.544,0.534,0.5389999999999999,0.5389999999999999,0.534,0.5609999999999999,0.5369999999999999,0.55,0.5449999999999999,0.5409999999999999,0.526,0.5640000000000001,0.5609999999999999,0.534,0.525,0.536,0.5509999999999999
sp|P03999.2|OPSB_HUMAN,0.02300000000000002,0.0,0.08599999999999997,0.12,0.123,0.127,0.16000000000000003,0.17900000000000005,0.20299999999999996,0.33499999999999996,0.345,0.34199999999999997,0.45699999999999996,0.46099999999999997,0.469,0.472,0.488,0.46599999999999997,0.501,0.45199999999999996,0.46299999999999997,0.478,0.475,0.479,0.49,0.479,0.492,0.509,0.489,0.498,0.503,0.477,0.502,0.505,0.471,0.508,0.504,0.504,0.497,0.505,0.506,0.508,0.506,0.507,0.508,0.475,0.506,0.501,0.508,0.485,0.507,0.499,0.509,0.513,0.502,0.515,0.507,0.489,0.502,0.517,0.515,0.504,0.52,0.492,0.505,0.52,0.507,0.499,0.5,0.518,0.508,0.482,0.502,0.517,0.518,0.504,0.518,0.52,0.515,0.526,0.521,0.523,0.503,0.46699999999999997,0.515,0.516,0.51,0.526,0.5329999999999999,0.532,0.5329999999999999,0.52,0.532,0.532,0.527,0.5329999999999999,0.521,0.519,0.5329999999999999,0.49,0.526,0.523,0.524,0.538,0.532,0.536,0.5409999999999999,0.534,0.5389999999999999,0.5389999999999999,0.534,0.5609999999999999,0.5369999999999999,0.55,0.5449999999999999,0.5409999999999999,0.526,0.5640000000000001,0.5609999999999999,0.534,0.525,0.536,0.5509999999999999
sp|O13092.1|OPSB_SAIBB,0.09799999999999998,0.08599999999999997,0.0,0.133,0.127,0.133,0.17100000000000004,0.18500000000000005,0.19399999999999995,0.347,0.352,0.352,0.46699999999999997,0.475,0.471,0.479,0.493,0.46399999999999997,0.509,0.45999999999999996,0.475,0.487,0.482,0.477,0.488,0.495,0.494,0.506,0.501,0.506,0.509,0.469,0.51,0.509,0.471,0.509,0.513,0.51,0.499,0.511,0.512,0.513,0.511,0.511,0.511,0.476,0.51,0.503,0.513,0.471,0.511,0.507,0.51,0.511,0.51,0.518,0.521,0.491,0.509,0.52,0.516,0.511,0.503,0.512,0.501,0.519,0.509,0.516,0.497,0.522,0.514,0.507,0.501,0.516,0.518,0.503,0.52,0.523,0.517,0.504,0.519,0.523,0.501,0.477,0.529,0.501,0.509,0.514,0.531,0.53,0.513,0.508,0.53,0.531,0.526,0.519,0.51,0.505,0.532,0.49,0.513,0.51,0.516,0.527,0.524,0.525,0.518,0.517,0.523,0.523,0.532,0.5489999999999999,0.532,0.5369999999999999,0.5349999999999999,0.531,0.514,0.552,0.546,0.534,0.523,0.515,0.5489999999999999
sp|Q63652.2|OPSB_RAT,0.12,0.12,0.133,0.0,0.05400000000000005,0.119,0.17400000000000004,0.19199999999999995,0.21999999999999997,0.344,0.351,0.348,0.484,0.496,0.493,0.498,0.506,0.46199999999999997,0.529,0.476,0.484,0.506,0.477,0.483,0.507,0.511,0.518,0.53,0.518,0.511,0.519,0.494,0.522,0.522,0.491,0.519,0.522,0.523,0.518,0.525,0.525,0.523,0.523,0.522,0.522,0.495,0.522,0.516,0.522,0.49,0.528,0.534,0.525,0.516,0.538,0.529,0.538,0.503,0.523,0.531,0.527,0.522,0.5349999999999999,0.53,0.52,0.5369999999999999,0.522,0.53,0.514,0.5389999999999999,0.525,0.517,0.516,0.5329999999999999,0.534,0.518,0.54,0.54,0.518,0.542,0.538,0.54,0.54,0.522,0.527,0.514,0.521,0.519,0.5489999999999999,0.5489999999999999,0.5449999999999999,0.519,0.542,0.544,0.527,0.55,0.521,0.515,0.546,0.509,0.523,0.517,0.525,0.532,0.5369999999999999,0.5409999999999999,0.538,0.526,0.542,0.544,0.5469999999999999,0.5569999999999999,0.525,0.542,0.5449999999999999,0.5409999999999999,0.531,0.55,0.5509999999999999,0.536,0.534,0.5469999999999999,0.5780000000000001
sp|P51491.1|OPSB_MOUSE,0.123,0.123,0.127,0.05400000000000005,0.0,0.11299999999999999,0.16300000000000003,0.17600000000000005,0.19999999999999996,0.32599999999999996,0.33299999999999996,0.32899999999999996,0.479,0.488,0.482,0.492,0.499,0.46199999999999997,0.518,0.475,0.478,0.497,0.49,0.479,0.519,0.506,0.505,0.519,0.504,0.504,0.509,0.499,0.509,0.516,0.484,0.509,0.509,0.511,0.508,0.512,0.511,0.51,0.51,0.509,0.509,0.485,0.508,0.503,0.511,0.481,0.514,0.521,0.512,0.508,0.526,0.515,0.524,0.489,0.51,0.518,0.516,0.509,0.53,0.518,0.512,0.531,0.511,0.522,0.508,0.526,0.51,0.505,0.509,0.524,0.526,0.515,0.528,0.527,0.509,0.5369999999999999,0.529,0.53,0.529,0.487,0.519,0.526,0.51,0.531,0.54,0.5349999999999999,0.536,0.531,0.531,0.534,0.518,0.538,0.5329999999999999,0.527,0.534,0.497,0.534,0.528,0.5389999999999999,0.5409999999999999,0.546,0.5469999999999999,0.5449999999999999,0.538,0.5449999999999999,0.5469999999999999,0.5449999999999999,0.5569999999999999,0.5389999999999999,0.552,0.5509999999999999,0.546,0.5369999999999999,0.554,0.56,0.542,0.529,0.538,0.5720000000000001
sp|P51490.1|OPSB_BOVIN,0.137,0.127,0.133,0.119,0.11299999999999999,0.0,0.16500000000000004,0.17700000000000005,0.20299999999999996,0.33399999999999996,0.33899999999999997,0.33499999999999996,0.46199999999999997,0.49,0.479,0.485,0.494,0.46099999999999997,0.511,0.478,0.46499999999999997,0.502,0.478,0.475,0.51,0.506,0.5,0.511,0.522,0.507,0.51,0.478,0.522,0.507,0.479,0.51,0.524,0.509,0.508,0.51,0.522,0.51,0.513,0.511,0.516,0.483,0.524,0.509,0.509,0.477,0.527,0.515,0.517,0.51,0.52,0.522,0.5389999999999999,0.486,0.522,0.524,0.516,0.508,0.52,0.513,0.517,0.512,0.512,0.512,0.509,0.522,0.513,0.492,0.512,0.52,0.517,0.517,0.521,0.523,0.513,0.518,0.515,0.517,0.521,0.493,0.522,0.509,0.522,0.516,0.532,0.527,0.531,0.51,0.53,0.526,0.525,0.53,0.516,0.511,0.53,0.492,0.517,0.507,0.522,0.523,0.521,0.523,0.52,0.521,0.524,0.534,0.534,0.556,0.526,0.5369999999999999,0.534,0.534,0.518,0.548,0.5489999999999999,0.538,0.521,0.524,0.5680000000000001
sp|O57605.1|OPSUV_MELUD,0.16000000000000003,0.16000000000000003,0.17100000000000004,0.17400000000000004,0.16300000000000003,0.16500000000000004,0.0,0.132,0.19599999999999995,0.349,0.33799999999999997,0.356,0.46699999999999997,0.45199999999999996,0.486,0.495,0.475,0.41900000000000004,0.496,0.45299999999999996,0.45399999999999996,0.498,0.483,0.478,0.499,0.506,0.498,0.495,0.496,0.494,0.496,0.48,0.508,0.498,0.489,0.501,0.505,0.505,0.492,0.506,0.508,0.504,0.507,0.506,0.51,0.494,0.505,0.498,0.505,0.483,0.504,0.498,0.509,0.493,0.501,0.517,0.52,0.491,0.505,0.518,0.51,0.506,0.516,0.502,0.504,0.506,0.502,0.509,0.502,0.511,0.512,0.5,0.505,0.508,0.505,0.507,0.512,0.512,0.493,0.524,0.503,0.506,0.517,0.475,0.502,0.517,0.496,0.519,0.513,0.524,0.524,0.528,0.528,0.519,0.504,0.523,0.53,0.519,0.526,0.482,0.524,0.52,0.524,0.5389999999999999,0.531,0.5329999999999999,0.528,0.5329999999999999,0.524,0.526,0.531,0.5489999999999999,0.5369999999999999,0.538,0.525,0.5349999999999999,0.518,0.544,0.554,0.5409999999999999,0.518,0.516,0.5589999999999999
sp|P28684.1|OPSV_CHICK,0.17900000000000005,0.17900000000000005,0.18500000000000005,0.19199999999999995,0.17600000000000005,0.17700000000000005,0.132,0.0,0.20499999999999996,0.349,0.33199999999999996,0.347,0.475,0.476,0.473,0.476,0.471,0.45799999999999996,0.483,0.45799999999999996,0.46399999999999997,0.484,0.483,0.45699999999999996,0.485,0.483,0.485,0.482,0.485,0.485,0.496,0.46599999999999997,0.493,0.494,0.47,0.488,0.49,0.491,0.489,0.492,0.488,0.49,0.49,0.49,0.491,0.478,0.49,0.492,0.493,0.478,0.489,0.48,0.494,0.483,0.486,0.498,0.492,0.481,0.487,0.5,0.497,0.489,0.494,0.484,0.506,0.508,0.492,0.498,0.504,0.523,0.497,0.499,0.507,0.51,0.507,0.511,0.516,0.524,0.486,0.513,0.508,0.512,0.498,0.482,0.495,0.526,0.5,0.54,0.512,0.511,0.507,0.531,0.511,0.507,0.501,0.502,0.532,0.5349999999999999,0.512,0.484,0.5369999999999999,0.534,0.536,0.542,0.5469999999999999,0.5489999999999999,0.538,0.532,0.5449999999999999,0.54,0.55,0.552,0.5569999999999999,0.5529999999999999,0.5509999999999999,0.552,0.5349999999999999,0.569,0.569,0.5389999999999999,0.504,0.505,0.558
sp|P51473.1|OPSV_XENLA,0.20299999999999996,0.20299999999999996,0.19399999999999995,0.21999999999999997,0.19999999999999996,0.20299999999999996,0.19599999999999995,0.20499999999999996,0.0,0.33799999999999997,0.33499999999999996,0.33999999999999997,0.45999999999999996,0.491,0.476,0.474,0.478,0.44499999999999995,0.492,0.472,0.45199999999999996,0.494,0.477,0.46299999999999997,0.494,0.492,0.471,0.488,0.475,0.485,0.489,0.46699999999999997,0.491,0.506,0.473,0.483,0.492,0.493,0.478,0.494,0.491,0.49,0.491,0.489,0.486,0.45599999999999996,0.487,0.487,0.491,0.44699999999999995,0.486,0.489,0.484,0.483,0.49,0.493,0.501,0.46799999999999997,0.487,0.496,0.497,0.488,0.49,0.491,0.5,0.498,0.492,0.499,0.497,0.512,0.501,0.486,0.495,0.504,0.509,0.498,0.513,0.514,0.494,0.5,0.491,0.495,0.504,0.48,0.505,0.5489999999999999,0.488,0.548,0.496,0.494,0.498,0.546,0.494,0.491,0.505,0.495,0.548,0.5449999999999999,0.497,0.469,0.5509999999999999,0.548,0.548,0.5589999999999999,0.556,0.556,0.548,0.55,0.55,0.56,0.548,0.5609999999999999,0.567,0.562,0.565,0.5529999999999999,0.5469999999999999,0.5700000000000001,0.5720000000000001,0.556,0.508,0.495,0.5389999999999999
sp|P87368.1|OPSV_ORYLA,0.33499999999999996,0.33499999999999996,0.347,0.344,0.32599999999999996,0.33399999999999996,0.349,0.349,0.33799999999999997,0.0,0.24,0.248,0.509,0.526,0.492,0.498,0.52,0.512,0.526,0.514,0.501,0.504,0.501,0.519,0.524,0.517,0.523,0.529,0.542,0.526,0.544,0.518,0.534,0.523,0.499,0.516,0.534,0.531,0.527,0.527,0.5349999999999999,0.516,0.517,0.519,0.527,0.494,0.532,0.498,0.521,0.51,0.529,0.527,0.525,0.5329999999999999,0.538,0.529,0.5469999999999999,0.5,0.53,0.532,0.528,0.524,0.52,0.522,0.542,0.542,0.524,0.528,0.54,0.5369999999999999,0.525,0.497,0.5409999999999999,0.5429999999999999,0.538,0.548,0.536,0.538,0.531,0.548,0.5469999999999999,0.5489999999999999,0.5369999999999999,0.52,0.5369999999999999,0.528,0.528,0.532,0.542,0.5569999999999999,0.55,0.54,0.544,0.546,0.542,0.554,0.5429999999999999,0.529,0.5529999999999999,0.508,0.534,0.527,0.5349999999999999,0.536,0.542,0.542,0.536,0.542,0.524,0.524,0.5329999999999999,0.5389999999999999,0.53,0.53,0.52,0.523,0.523,0.526,0.529,0.5529999999999999,0.548,0.5469999999999999,0.577
