seq1,seq2,type1,type2,same_type,embedding_similarity,avg_seq_identity
sp|P60015.1|OPSB_PANTR,sp|P03999.2|OPSB_HUMAN,short_wave,short_wave,True,0.99984527,100.0
sp|P60015.1|OPSB_PANTR,sp|O13092.1|OPSB_SAIBB,short_wave,short_wave,True,0.9989977,96.07558139534883
sp|P60015.1|OPSB_PANTR,sp|Q63652.2|OPSB_RAT,short_wave,short_wave,True,0.9976701,93.58600583090379
sp|P60015.1|OPSB_PANTR,sp|P51491.1|OPSB_MOUSE,short_wave,short_wave,True,0.997892,93.00291545189505
sp|P60015.1|OPSB_PANTR,sp|P51490.1|OPSB_BOVIN,short_wave,short_wave,True,0.998127,93.02325581395348
sp|P60015.1|OPSB_PANTR,sp|O57605.1|OPSUV_MELUD,short_wave,short_wave,True,0.9960644,91.4156626506024
sp|P60015.1|OPSB_PANTR,sp|P28684.1|OPSV_CHICK,short_wave,short_wave,True,0.98848665,90.14492753623188
sp|P60015.1|OPSB_PANTR,sp|P51473.1|OPSV_XENLA,short_wave,short_wave,True,0.9955883,88.75
sp|P60015.1|OPSB_PANTR,sp|P87368.1|OPSV_ORYLA,short_wave,short_wave,True,0.99122787,81.98198198198199
sp|P60015.1|OPSB_PANTR,sp|Q9W6A9.2|OP1S1_DANRE,short_wave,short_wave,True,0.987512,81.72205438066466
sp|P60015.1|OPSB_PANTR,sp|Q90309.1|OPSUV_CARAU,short_wave,short_wave,True,0.9900924,81.68168168168168
sp|P60015.1|OPSB_PANTR,sp|P32310.1|OPSB_CARAU,short_wave,short_wave,True,0.99394035,74.56395348837209
sp|P60015.1|OPSB_PANTR,sp|P87365.1|OPSB_ORYLA,short_wave,short_wave,True,0.99558645,74.85119047619048
sp|P60015.1|OPSB_PANTR,sp|Q8AYM7.1|OPSG3_DANRE,short_wave,short_wave,True,0.9940329,74.61538461538461
sp|P60015.1|OPSB_PANTR,sp|Q9W6A6.2|OPSG4_DANRE,short_wave,short_wave,True,0.9908618,74.0
sp|P60015.1|OPSB_PANTR,sp|Q8HY69.2|OPSD_SMICR,short_wave,short_wave,True,0.9837309,73.59882005899705
sp|P60015.1|OPSB_PANTR,sp|P28682.1|OPSB_CHICK,short_wave,short_wave,True,0.9827362,74.64183381088826
sp|P60015.1|OPSB_PANTR,sp|P56516.1|OPSD_RANTE,short_wave,short_wave,True,0.9867417,73.57357357357357
sp|P60015.1|OPSB_PANTR,sp|P51476.1|OPSP_COLLI,short_wave,short_wave,True,0.96782815,74.9185667752443
sp|P60015.1|OPSB_PANTR,sp|P51472.1|OPSB_PSAFA,short_wave,short_wave,True,0.9951788,75.07598784194529
sp|P60015.1|OPSB_PANTR,sp|Q8AYM8.1|OPSG2_DANRE,short_wave,short_wave,True,0.99471784,74.15384615384616
sp|P60015.1|OPSB_PANTR,sp|Q9W6A8.1|OP1S2_DANRE,short_wave,short_wave,True,0.9954817,74.38650306748467
sp|P60015.1|OPSB_PANTR,sp|P35357.1|OPSB_GEKGE,short_wave,short_wave,True,0.9929731,75.44910179640719
sp|P60015.1|OPSB_PANTR,sp|P51470.1|OPSD_AQUCT,short_wave,short_wave,True,0.9883493,73.57357357357357
sp|P60015.1|OPSB_PANTR,sp|Q9W6A5.2|OPSG1_DANRE,short_wave,short_wave,True,0.9956182,73.84615384615384
sp|P60015.1|OPSB_PANTR,sp|P41591.1|OPSD_ANOCA,short_wave,short_wave,True,0.99088943,74.54545454545455
