,sp|P60015.1|OPSB_PANTR,sp|P03999.2|OPSB_HUMAN,sp|O13092.1|OPSB_SAIBB,sp|Q63652.2|OPSB_RAT,sp|P51491.1|OPSB_MOUSE,sp|P51490.1|OPSB_BOVIN,sp|O57605.1|OPSUV_MELUD,sp|P28684.1|OPSV_CHICK,sp|P51473.1|OPSV_XENLA,sp|P87368.1|OPSV_ORYLA,sp|Q9W6A9.2|OP1S1_DANRE,sp|Q90309.1|OPSUV_CARAU,sp|P32310.1|OPSB_CARAU,sp|P87365.1|OPSB_ORYLA,sp|Q8AYM7.1|OPSG3_DANRE,sp|Q9W6A6.2|OPSG4_DANRE,sp|Q8HY69.2|OPSD_SMICR,sp|P28682.1|OPSB_CHICK,sp|P56516.1|OPSD_RANTE,sp|P51476.1|OPSP_COLLI,sp|P51472.1|OPSB_PSAFA,sp|Q8AYM8.1|OPSG2_DANRE,sp|Q9W6A8.1|OP1S2_DANRE,sp|P35357.1|OPSB_GEKGE,sp|P51470.1|OPSD_AQUCT,sp|Q9W6A5.2|OPSG1_DANRE,sp|P41591.1|OPSD_ANOCA,sp|P31355.1|OPSD_LITPI,sp|Q90245.1|OPSD_AMBTI,sp|O93441.1|OPSD_GALML,sp|O93459.1|OPSD_SCYCA,sp|P28683.1|OPSG_CHICK,sp|P51489.1|OPSD_RAT,sp|O13227.1|OPSB_CONCO,sp|P32311.1|OPSG1_CARAU,sp|P49912.1|OPSD_RABIT,sp|Q28886.1|OPSD_MACFA,sp|O62795.1|OPSD_PAGGO,sp|P52202.1|OPSD_ALLMI,sp|O62794.1|OPSD_PHOVI,sp|Q769E8.1|OPSD_OTOCR,sp|P02699.1|OPSD_BOVIN,sp|Q68J47.1|OPSD_LOXAF,sp|Q95KU1.1|OPSD_FELCA,sp|O62791.1|OPSD_DELDE,sp|P32312.1|OPSG2_CARAU,sp|P15409.2|OPSD_MOUSE,sp|P22328.1|OPSD_CHICK,sp|Q6W3E1.1|OPSD_CALPD,sp|P51471.1|OPSB_ANOCA,sp|P28681.1|OPSD_CRIGR,sp|P56515.1|OPSD_RHIMB,sp|O62793.1|OPSD_MESBI,sp|P79863.1|OPSD_LEUER,sp|P56514.1|OPSD_BUFBU,sp|O62798.1|OPSD_TURTR,sp|Q90214.1|OPSD1_ANGAN,sp|P22671.1|OPSD_LETCA,sp|P08100.1|OPSD_HUMAN,sp|O62792.1|OPSD_GLOME,sp|P02700.2|OPSD_SHEEP,sp|O18766.1|OPSD_PIG,sp|Q9YGZ0.1|OPSD_SARPI,sp|P29403.1|OPSD_XENLA,sp|P79807.1|OPSD_MYRVI,sp|P79898.1|OPSD_SARDI,sp|P32308.1|OPSD_CANLF,sp|O42604.1|OPSD_ZEUFA,sp|P79914.1|OPSD_SARXA,sp|P79911.1|OPSD_SARTI,sp|O62796.1|OPSD_TRIMA,sp|P51474.1|OPSG3_PSAFA,sp|P79901.1|OPSD_SARMI,sp|P79798.1|OPSD_MYRBE,sp|P79902.1|OPSD_SARPU,sp|P79808.1|OPSD_NEOAR,sp|P79809.1|OPSD_NEOAU,sp|P79903.1|OPSD_SARSP,sp|P51488.1|OPSD_CYPCA,sp|P79812.1|OPSD_NEOSA,sp|Q9YGY9.1|OPSD_ZOSOP,sp|Q9YGZ2.1|OPSD_GOBNI,sp|P41590.1|OPSD_PSAFA,sp|P51475.1|OPSP_CHICK,sp|P32309.1|OPSD_CARAU,sp|Q9R024.1|OPSG_CAVPO,sp|P87369.1|OPSD_ORYLA,sp|P34989.1|OPSL_CALJA,sp|Q9YH05.1|OPSD_DIPAN,sp|Q9YGZ8.1|OPSD_CHELB,sp|Q9YGZ5.1|OPSD_SOLSO,sp|O35476.2|OPSG_RAT,sp|Q9DGG4.1|OPSD_TETNG,sp|Q9YGZ3.1|OPSD_SALPV,sp|P35359.2|OPSD_DANRE,sp|P79848.1|OPSD_POERE,sp|O35599.1|OPSG_MOUSE,sp|O35478.2|OPSG_SCICA,sp|Q9YGZ6.1|OPSD_CHEAU,sp|Q98980.1|OPSD_PETMA,sp|P04000.2|OPSR_HUMAN,sp|P04001.1|OPSG_HUMAN,sp|O18913.2|OPSR_FELCA,sp|O18912.2|OPSR_HORSE,sp|Q9BGI7.1|OPSR_BOVIN,sp|Q95170.1|OPSR_CAPHI,sp|O18914.2|OPSR_CANLF,sp|O18910.2|OPSG_RABIT,sp|P41592.1|OPSR_ANOCA,sp|P22329.1|OPSR_CHICK,sp|P87367.1|OPSR_ORYLA,sp|P32313.1|OPSR_CARAU,sp|O12948.1|OPSR_XENLA,sp|Q9W6A7.1|OPSR1_DANRE,sp|P22332.2|OPSR_PSAFA,sp|Q8AYN0.1|OPSR2_DANRE,sp|P35358.1|OPSG_GEKGE,sp|P22331.1|OPSG2_PSAFA,sp|P22330.1|OPSG1_PSAFA,sp|O18911.1|OPSG_ODOVI,sp|Q90215.1|OPSD2_ANGAN,sp|P79756.1|OPSD_GAMAF,sp|O42490.1|OPSP_PETMA
sp|P60015.1|OPSB_PANTR,1.0,0.99984515,0.9989977,0.99766994,0.997892,0.998127,0.9960647,0.9884867,0.99558824,0.99122787,0.9875119,0.9900924,0.9939405,0.99558634,0.99403316,0.9908619,0.9837309,0.9827362,0.98674154,0.96782815,0.99517894,0.99471796,0.9954818,0.99297297,0.98834944,0.9956182,0.9908894,0.9875249,0.988688,0.9918244,0.98858297,0.9933385,0.9863496,0.9859951,0.9929558,0.98452264,0.9864305,0.9879072,0.9897325,0.9883207,0.98489136,0.9859642,0.98785776,0.987115,0.98957527,0.9917445,0.98589855,0.9889686,0.98589987,0.9947398,0.9861195,0.9892454,0.9896973,0.98993945,0.9893144,0.98993313,0.98855054,0.98927397,0.98686767,0.9907037,0.9892516,0.9873902,0.9904835,0.99138945,0.9895777,0.98929495,0.9866041,0.9900861,0.9896305,0.9914112,0.98606366,0.9897301,0.9877958,0.9910356,0.99062216,0.990579,0.9920702,0.99124336,0.98800313,0.9897187,0.9897001,0.9893927,0.9880824,0.9724944,0.98744076,0.9879545,0.9867739,0.9911292,0.9886073,0.98711014,0.9881228,0.9904769,0.9887369,0.98805207,0.9882183,0.9893233,0.9904705,0.9883937,0.98679817,0.9919234,0.9887587,0.98892,0.9852645,0.9874779,0.98853374,0.988821,0.9873097,0.9890306,0.9851136,0.9883919,0.9860955,0.98437595,0.9867457,0.9815049,0.9846524,0.98157763,0.9838321,0.98427755,0.9847414,0.9701079,0.9866472,0.98862714,0.958687
sp|P03999.2|OPSB_HUMAN,0.99984515,1.0,0.99891645,0.9977939,0.9980509,0.99802613,0.99616885,0.9887683,0.9957658,0.99143875,0.987308,0.9903163,0.99416375,0.99541783,0.9943436,0.99128556,0.9844644,0.98290735,0.9870966,0.9683409,0.99538404,0.994808,0.9954266,0.99330926,0.98874515,0.9955449,0.99130464,0.9878794,0.9891536,0.99236304,0.98920476,0.9936019,0.9871522,0.98660886,0.993181,0.98535866,0.987235,0.98859894,0.9902816,0.98903763,0.98575497,0.9867503,0.988598,0.98792124,0.99032825,0.9921708,0.9868115,0.9891676,0.9866714,0.9952314,0.9870453,0.989708,0.9903461,0.9905507,0.9897199,0.9905951,0.9892245,0.9897738,0.987671,0.99132997,0.9900446,0.98826367,0.990783,0.99180794,0.9899382,0.9895483,0.9872929,0.99014044,0.98988634,0.9917231,0.9868338,0.9900299,0.9880613,0.9913781,0.9908477,0.99087405,0.9924918,0.9915457,0.98807085,0.9899958,0.9899586,0.9897407,0.988562,0.972891,0.98749405,0.9877353,0.9872204,0.99093,0.9888068,0.9874054,0.98849213,0.9906056,0.98899096,0.98842335,0.9885254,0.9895931,0.9904545,0.9882254,0.9870794,0.99247825,0.9883586,0.9886409,0.9846029,0.98703086,0.9881822,0.9885123,0.98708546,0.9888998,0.9843312,0.9877702,0.9853319,0.9836367,0.9865073,0.9807038,0.9838571,0.9809575,0.9831842,0.98386204,0.9843866,0.97064793,0.9869985,0.98891854,0.9575927
sp|O13092.1|OPSB_SAIBB,0.9989977,0.99891645,0.9999999,0.9973081,0.99837756,0.9985613,0.99720216,0.99046713,0.9964493,0.9908255,0.9875883,0.989378,0.99344254,0.99612844,0.99318695,0.9900407,0.98296726,0.9843433,0.98549414,0.96840894,0.99526346,0.9942837,0.9951806,0.9919299,0.9877416,0.99538076,0.99017435,0.98680806,0.98826236,0.9918729,0.98859644,0.9929991,0.9855564,0.9860251,0.9922394,0.9839092,0.98543775,0.98722696,0.9894463,0.9876111,0.9838625,0.9851885,0.987025,0.98636395,0.9889534,0.990674,0.9850147,0.988628,0.98503196,0.9943523,0.9853384,0.9890324,0.9893791,0.99009234,0.9892817,0.9891508,0.9886268,0.9891405,0.98611456,0.9902122,0.98844564,0.986785,0.99060154,0.99116385,0.9907137,0.9898545,0.98596036,0.99092966,0.9904508,0.99202806,0.985126,0.98917174,0.98826337,0.9923046,0.9915746,0.9915787,0.9930073,0.9920053,0.98849106,0.99075884,0.9906484,0.9901586,0.9885859,0.9742322,0.98809034,0.9897176,0.9879459,0.99243295,0.9890671,0.9888152,0.98853135,0.9914191,0.9894666,0.9888283,0.9888787,0.9900751,0.99147207,0.98924303,0.9882574,0.99173594,0.990383,0.9907792,0.9865094,0.98856384,0.989465,0.98968947,0.9885074,0.99063337,0.9865911,0.989739,0.9867087,0.9845763,0.98720473,0.98138475,0.9849671,0.98204243,0.98498046,0.98486257,0.9849537,0.9701481,0.986907,0.9895339,0.95966566
sp|Q63652.2|OPSB_RAT,0.99766994,0.9977939,0.9973081,0.9999997,0.99898505,0.99809504,0.99474156,0.9886204,0.995469,0.9880357,0.98087037,0.98530346,0.9919537,0.99245256,0.9916882,0.98809,0.9807752,0.98567826,0.98473597,0.9709865,0.9940668,0.9921615,0.99321395,0.98976135,0.9861578,0.9928217,0.9885793,0.9856025,0.98527825,0.9893881,0.9856939,0.98993456,0.9836203,0.9842707,0.98892236,0.98201346,0.9834162,0.9851506,0.98615426,0.9852207,0.9822135,0.9833594,0.9851014,0.9841182,0.987691,0.9886522,0.9831232,0.984632,0.98316604,0.99247515,0.98310184,0.98617065,0.9879758,0.98669493,0.9863342,0.9879415,0.98748004,0.98561275,0.9841767,0.98892933,0.98645663,0.9850603,0.9888308,0.98973703,0.9891829,0.9889468,0.9831189,0.9890222,0.988563,0.9909824,0.982326,0.98463154,0.9874816,0.9906154,0.9896102,0.9901655,0.9917349,0.9907112,0.9855073,0.9888174,0.9878217,0.9873769,0.9861903,0.9734829,0.9859117,0.9880061,0.9841889,0.990887,0.98715866,0.9854077,0.9872954,0.9906839,0.9876866,0.98657346,0.98705846,0.988533,0.9907843,0.98861265,0.9849427,0.9894501,0.989041,0.9891465,0.985886,0.9867695,0.98903704,0.98944175,0.9884969,0.9899257,0.98345,0.98740077,0.9833023,0.98139775,0.98660654,0.97776806,0.98054904,0.9786795,0.98246443,0.98357475,0.9840994,0.9689424,0.9850093,0.98714906,0.9609633
sp|P51491.1|OPSB_MOUSE,0.997892,0.9980509,0.99837756,0.99898505,1.0000005,0.9985816,0.99614847,0.99207073,0.99598265,0.9893588,0.9833833,0.986575,0.99178946,0.9945512,0.9916818,0.98861015,0.9797092,0.9876715,0.98344207,0.9701687,0.99432254,0.99305654,0.9932394,0.9900458,0.9851171,0.9938804,0.98754334,0.9843713,0.98500746,0.98938084,0.98544693,0.9899471,0.98298687,0.98307145,0.98989785,0.98112375,0.9830996,0.98455775,0.98588556,0.9847826,0.98149693,0.98244935,0.98405933,0.9833773,0.9870386,0.98917615,0.9826584,0.9841851,0.9823487,0.9923848,0.982746,0.98598665,0.98748314,0.986762,0.98611,0.98738086,0.9862809,0.98622614,0.98382425,0.9884634,0.98592913,0.98439753,0.98858136,0.9890576,0.9893509,0.98814034,0.98292005,0.98903203,0.9884341,0.99038124,0.9816561,0.98615503,0.98661196,0.9911777,0.9895702,0.98990154,0.9915178,0.9902104,0.9853767,0.98886764,0.98841786,0.98794943,0.9864329,0.9750986,0.9856135,0.98988765,0.98523337,0.9923346,0.98674834,0.9866257,0.98723036,0.99132824,0.9878792,0.9868104,0.9868382,0.98839605,0.9912674,0.9892612,0.98594105,0.9893163,0.9902588,0.9908503,0.9872823,0.98837286,0.98995906,0.9901634,0.9897022,0.99082243,0.9859439,0.9892999,0.9856672,0.983349,0.9875574,0.9792762,0.98291147,0.9811454,0.98514676,0.9840648,0.9845905,0.97135454,0.98398256,0.9874063,0.9612353
sp|P51490.1|OPSB_BOVIN,0.998127,0.99802613,0.9985613,0.99809504,0.9985816,1.0000005,0.9969368,0.99087936,0.99629986,0.99172723,0.9866118,0.9890642,0.9920641,0.9947208,0.9925779,0.98902124,0.9823424,0.98445475,0.98611236,0.96514344,0.99440205,0.9942799,0.9937676,0.9915357,0.9877385,0.9953402,0.9890667,0.98690486,0.98761815,0.99118304,0.9875975,0.99113405,0.9845664,0.9858383,0.9909539,0.9829961,0.9849481,0.9868216,0.9885261,0.9869654,0.9836441,0.98449516,0.98681116,0.9853295,0.9887993,0.98943865,0.98396486,0.98752004,0.9845885,0.9934266,0.9845437,0.9882416,0.9890425,0.9891507,0.98879313,0.9888379,0.9889531,0.9878556,0.9855871,0.99019915,0.98737645,0.9860391,0.98987633,0.9911899,0.9905591,0.989879,0.98497266,0.99086875,0.99013627,0.9918801,0.9840453,0.9873253,0.98826116,0.99244803,0.99101317,0.9914141,0.99266994,0.99172497,0.98809224,0.9908721,0.99021184,0.98962545,0.9887075,0.97124994,0.9882465,0.98992234,0.9871754,0.9922054,0.9884229,0.9880515,0.9890949,0.9921716,0.98923004,0.98835284,0.9886665,0.9902618,0.9922057,0.9898551,0.9875009,0.991184,0.990751,0.9908586,0.9871605,0.9884996,0.9900816,0.9902655,0.9890671,0.9908271,0.98745453,0.99039376,0.98712486,0.9856413,0.988184,0.98235184,0.98488235,0.9827543,0.9866525,0.9863537,0.9865413,0.9681265,0.9867709,0.98949057,0.9611837
sp|O57605.1|OPSUV_MELUD,0.9960647,0.99616885,0.99720216,0.99474156,0.99614847,0.9969368,1.0,0.99312866,0.99708104,0.9911542,0.99076825,0.9914118,0.99166197,0.99355894,0.9954496,0.99204946,0.98867273,0.9827199,0.9910425,0.9633803,0.9917621,0.9953551,0.99355847,0.9951433,0.992972,0.9961351,0.9930301,0.9924375,0.99324393,0.9947677,0.992259,0.9951507,0.99019384,0.9907218,0.9946065,0.9894986,0.9907995,0.99213064,0.9932198,0.9922149,0.9896113,0.99025494,0.9914984,0.9907988,0.9927993,0.9918984,0.98948795,0.99280715,0.99004877,0.99507105,0.9900961,0.99385315,0.99324286,0.99362135,0.99374175,0.9928395,0.9921818,0.9935431,0.99112284,0.9938322,0.99167633,0.99090314,0.99386966,0.99531376,0.99477094,0.9942739,0.9911634,0.99546444,0.9945545,0.99553275,0.98988545,0.9925338,0.99340004,0.9951007,0.99537724,0.99497414,0.99559224,0.9955066,0.9941587,0.99495065,0.994549,0.99421847,0.99324715,0.97025675,0.99375635,0.99130917,0.99310946,0.99380064,0.99328136,0.9928939,0.99351215,0.9939303,0.99424994,0.9930889,0.99365515,0.994296,0.993745,0.99237007,0.9927405,0.9944371,0.99213994,0.9922031,0.98902065,0.9905932,0.9911999,0.9911517,0.9897327,0.9918976,0.99046075,0.99165726,0.990284,0.9899483,0.9920714,0.98729646,0.98971814,0.9878513,0.9893693,0.9902514,0.9900875,0.97365975,0.99188834,0.99378514,0.9575274
sp|P28684.1|OPSV_CHICK,0.9884867,0.9887683,0.99046713,0.9886204,0.99207073,0.99087936,0.99312866,0.9999996,0.9879665,0.9835771,0.9846484,0.9833541,0.9787338,0.98989403,0.98828685,0.9882226,0.97729987,0.9909879,0.97788465,0.9698018,0.98146886,0.98966116,0.98358196,0.98646116,0.9812168,0.98979616,0.98465663,0.980363,0.98290986,0.9859562,0.9799021,0.98568887,0.98083377,0.9806497,0.98785996,0.97914,0.9822639,0.98240614,0.98236334,0.98213816,0.98035026,0.98114306,0.98120934,0.9806001,0.98465025,0.98722696,0.9808601,0.9800685,0.98088557,0.98404366,0.9811099,0.9826902,0.986394,0.98276925,0.9820545,0.9850106,0.98395073,0.9850742,0.98251104,0.9867281,0.9829582,0.98236746,0.98709875,0.98530877,0.98860294,0.98467827,0.9813763,0.98943186,0.9879193,0.98613346,0.9793132,0.98587334,0.9839156,0.9907479,0.98600775,0.98709154,0.9870288,0.98662853,0.98544794,0.9872513,0.98914546,0.9884616,0.9878824,0.97820276,0.98625857,0.99251866,0.987283,0.9925319,0.98593134,0.9899584,0.98712945,0.9912724,0.98862016,0.987478,0.9877583,0.9875917,0.99075526,0.98890305,0.9887704,0.98369604,0.98946255,0.9904219,0.98898846,0.9889485,0.988909,0.9890778,0.99020773,0.9908747,0.9903299,0.9909601,0.9900478,0.98600763,0.9876683,0.98241514,0.98824185,0.98675513,0.98834836,0.98430383,0.98508114,0.9750867,0.9836784,0.987846,0.96442413
sp|P51473.1|OPSV_XENLA,0.99558824,0.9957658,0.9964493,0.995469,0.99598265,0.99629986,0.99708104,0.9879665,0.99999976,0.98862636,0.9852991,0.98877853,0.99303544,0.99103785,0.9932871,0.98692507,0.9860427,0.9783591,0.9893372,0.95995295,0.993582,0.9932978,0.9927651,0.99159014,0.99038166,0.99408436,0.99020964,0.99013305,0.99048406,0.9931513,0.9915106,0.99189085,0.98690957,0.9889834,0.99015534,0.98604196,0.9869313,0.98813707,0.99059576,0.9886626,0.9855501,0.9863854,0.98872864,0.9874692,0.9899567,0.987267,0.98641187,0.9900459,0.9855488,0.9947871,0.9863411,0.9916035,0.99005884,0.99154866,0.99242646,0.98989236,0.9908253,0.9892471,0.987254,0.9908055,0.9881108,0.9872147,0.99078393,0.9926466,0.991196,0.99201006,0.98696375,0.9920275,0.9906521,0.9934522,0.9858533,0.9873344,0.99086195,0.9913053,0.9933873,0.9926005,0.99430203,0.99307454,0.9901811,0.9920237,0.99035287,0.99012685,0.98931646,0.9642693,0.9900956,0.9857583,0.98869526,0.9891596,0.989202,0.98730123,0.9898045,0.99045867,0.98958683,0.9887423,0.9896064,0.99099267,0.9902488,0.98776406,0.98700196,0.9924915,0.9877255,0.9875104,0.9828905,0.9840599,0.9862619,0.98627263,0.9846371,0.9875485,0.9848346,0.9860025,0.9826355,0.9832443,0.9905964,0.97878057,0.98087764,0.9795338,0.9850534,0.9862296,0.98559254,0.9661005,0.9892396,0.9897104,0.9514883
sp|P87368.1|OPSV_ORYLA,0.99122787,0.99143875,0.9908255,0.9880357,0.9893588,0.99172723,0.9911542,0.9835771,0.98862636,0.99999976,0.9922664,0.9946612,0.9888287,0.9896764,0.9900257,0.98670715,0.9812639,0.9736079,0.986256,0.9468858,0.98837537,0.99334127,0.9891653,0.9905366,0.9867318,0.99420726,0.98400426,0.98557436,0.9870371,0.98884726,0.98621404,0.9872533,0.98202884,0.98269033,0.9904865,0.98124945,0.9840969,0.98563194,0.9878266,0.98583364,0.9828364,0.982967,0.9857577,0.9836864,0.9864962,0.98757946,0.98143286,0.9870026,0.98366475,0.98981166,0.9834182,0.9871642,0.98488486,0.9869418,0.9880675,0.98649096,0.9853252,0.98762554,0.9846601,0.9876794,0.98538315,0.98410857,0.9842093,0.9890835,0.9868736,0.9863355,0.9849005,0.98643166,0.9868034,0.9883057,0.98367566,0.9871551,0.98534364,0.9892276,0.98748964,0.98787147,0.9883591,0.98800737,0.9853668,0.98833376,0.9866215,0.9861431,0.98679686,0.9582273,0.9845761,0.98233086,0.98548543,0.98574436,0.9856085,0.9841754,0.98747337,0.9862588,0.9855778,0.9853869,0.98442835,0.987158,0.986294,0.9842708,0.9842582,0.99036425,0.9846384,0.98410803,0.98106384,0.98402286,0.98420167,0.9841751,0.9818239,0.98189986,0.9837477,0.98586845,0.98399067,0.9854215,0.98272866,0.9846922,0.9838129,0.98322386,0.9838134,0.9835199,0.9847566,0.96551204,0.98409706,0.9870425,0.95118695
