,RHO_BOVIN,RHO_HUMAN,RHO_MOUSE,RHO_CHICK,OPSR_HUMAN,OPSG_HUMAN,OPSB_HUMAN,OPSB_MOUSE,OPN4_HUMAN,OPN5_HUMAN
RHO_BOVIN,1.0,0.9992757,0.99901575,0.9971433,0.9795824,0.9791109,0.98674977,0.98244923,0.9138034,0.9742016
RHO_HUMAN,0.9992757,0.9999997,0.99923134,0.99719715,0.98138607,0.98096734,0.98767126,0.9838247,0.9166542,0.97548866
RHO_MOUSE,0.99901575,0.99923134,0.99999976,0.9961872,0.97776085,0.9776663,0.98681164,0.9826576,0.9099881,0.9723063
RHO_CHICK,0.9971433,0.99719715,0.9961872,1.0,0.982012,0.9811114,0.9891678,0.9841852,0.9152872,0.97825384
OPSR_HUMAN,0.9795824,0.98138607,0.97776085,0.982012,1.0000004,0.9996499,0.9883589,0.9902586,0.96294856,0.98920214
OPSG_HUMAN,0.9791109,0.98096734,0.9776663,0.9811114,0.9996499,1.0000002,0.98864096,0.9908502,0.9624727,0.9883618
OPSB_HUMAN,0.98674977,0.98767126,0.98681164,0.9891678,0.9883589,0.98864096,1.0,0.9980508,0.9351107,0.98694384
OPSB_MOUSE,0.98244923,0.9838247,0.9826576,0.9841852,0.9902586,0.9908502,0.9980508,1.0000002,0.94452685,0.9876338
OPN4_HUMAN,0.9138034,0.91665417,0.90998805,0.9152874,0.9629486,0.96247274,0.9351107,0.9445269,0.9999999,0.9487884
OPN5_HUMAN,0.97420156,0.9754888,0.972306,0.97825384,0.98920214,0.9883617,0.9869437,0.9876336,0.9487884,0.9999999
