protein_id,category,lambda_max,sequence_length,organism,expression_level,thermal_stability,ph_optimum,extinction_coefficient,quantum_yield,photocycle_time,membrane_spanning,molecular_weight,isoelectric_point,hydrophobicity_score,conservation_score,crystallization_success,functional_activity,ion_selectivity,pump_rate,conductance,signaling_type,light_adaptation
48C12_A,Other,506.2,256,Various,high,64.7,6.4,29359,0.141,43.4,7,28.2,7.5,0.65,0.61,no,unknown,,,,,
AR1_A,Archaerhodopsin,564.2,236,Halobacterium,medium,77.8,7.5,20423,0.116,26.5,7,26.0,6.5,0.32,0.94,no,active,,,,,
AR2_A,Archaerhodopsin,572.4,235,Halorubrum,high,72.0,7.7,47029,0.109,47.1,7,25.9,7.3,0.49,0.61,no,active,,,,,
AR3_A,Archaerhodopsin,573.7,240,Halobacterium,high,53.4,6.4,43463,0.228,37.9,7,26.4,6.6,0.4,0.8,yes,unknown,,,,,
ARII_A,Other,517.5,224,Various,medium,57.6,6.8,54226,0.465,48.1,7,24.6,8.7,0.67,0.79,no,unknown,,,,,
ARI_A,Other,541.1,235,Various,low,59.9,6.7,29916,0.111,21.5,7,25.9,6.5,0.45,0.6,no,inactive,,,,,
ASR_A,Bacteriorhodopsin,575.9,217,Halobacterium salinarum,low,42.4,8.2,57397,0.332,3.6,7,23.9,6.1,0.46,0.86,no,unknown,proton,262.5,,,
AaClR_A,Other,467.9,272,Various,medium,50.4,7.9,53676,0.64,24.9,7,29.9,7.1,0.51,0.61,yes,active,,,,,
AbHeR_A,Halorhodopsin,582.7,253,Halobacterium,medium,51.7,7.0,65333,0.26,4.3,7,27.8,5.9,0.38,0.93,no,active,chloride,88.4,,,
AntR_A,Other,570.6,215,Various,low,60.4,8.2,52360,0.665,44.9,7,23.6,6.1,0.36,0.68,no,unknown,,,,,
B1ChR2_A,Channelrhodopsin,521.6,262,Chlorogonium,low,35.4,7.7,36164,0.271,8.8,7,28.8,5.6,0.58,0.74,yes,active,mixed,,1.3,,
BcXeR_A,Xanthorhodopsin,554.9,222,Salinibacter,low,99.2,8.5,36006,0.784,20.8,7,24.4,4.7,0.47,0.82,no,active,proton,251.5,,,
BeRGC_A,Other,532.9,626,Various,medium,51.8,6.6,68188,0.429,49.2,7,68.9,6.5,0.71,0.88,no,active,,,,,
CaChR1_A,Channelrhodopsin,511.7,715,Chlorogonium,medium,44.7,7.7,20995,0.458,11.7,7,78.7,7.7,0.39,0.84,no,unknown,cation,,3.4,,
CaRGC_A,Other,560.3,626,Various,low,83.1,6.6,30497,0.788,26.1,7,68.9,5.8,0.8,0.94,no,unknown,,,,,
CfRhoPDE_A,Other,478.3,671,Various,low,60.9,7.8,70799,0.699,20.5,7,73.8,8.9,0.73,0.93,no,active,,,,,
ChR2_A,Channelrhodopsin,504.8,250,Volvox,high,52.9,7.1,79667,0.223,1.4,7,27.5,7.0,0.39,0.73,no,inactive,mixed,,2.9,,
ChRWR_A,Channelrhodopsin,475.6,280,Chlorogonium,medium,26.0,6.6,55392,0.785,24.6,7,30.8,9.0,0.52,0.72,no,active,cation,,1.1,,
ChRmine_A,Channelrhodopsin,513.3,270,Chlorogonium,medium,54.8,6.7,73009,0.623,47.7,7,29.7,6.2,0.58,0.8,no,active,cation,,2.0,,
CnChR1_A,Channelrhodopsin,521.1,284,Chlorogonium,low,57.9,7.4,76169,0.587,28.7,7,31.2,5.0,0.61,0.95,yes,active,mixed,,1.7,,
CrChR1_A,Channelrhodopsin,520.9,280,Chlamydomonas,medium,34.3,8.0,68606,0.707,45.7,7,30.8,7.1,0.55,0.88,no,inactive,mixed,,0.3,,
CsR_A,Sensory_rhodopsin,515.5,225,Anabaena,medium,40.9,6.2,54696,0.125,23.5,7,24.8,7.2,0.44,0.81,yes,active,,,,photophobic,both
Ct_RB_A,Other,504.0,902,Various,low,78.4,6.5,57373,0.16,3.1,7,99.2,7.2,0.57,0.82,no,unknown,,,,,
ESR_A,Sensory_rhodopsin,500.7,236,Natronobacterium,low,56.9,7.0,46011,0.621,12.9,7,26.0,5.4,0.34,0.75,no,active,,,,photophobic,light
ErNaR_A,Other,516.4,271,Various,low,57.8,7.3,59426,0.405,36.6,7,29.8,4.7,0.58,0.66,yes,active,,,,,
FR_A,Other,463.8,296,Various,low,63.7,6.8,78770,0.223,1.3,7,32.6,8.3,0.7,0.72,no,active,,,,,
GPR_A18L_A,Proteorhodopsin,491.9,217,SAR11,medium,53.1,7.6,50188,0.7,33.1,7,23.9,5.3,0.34,0.82,yes,active,proton,473.1,,,
GR_A,Other,536.3,246,Various,medium,48.0,7.6,47495,0.482,47.1,7,27.1,6.4,0.78,0.92,no,active,,,,,
GpRGC2_A,Proteorhodopsin,494.0,506,SAR11,low,31.8,7.6,43123,0.577,17.4,7,55.7,5.8,0.55,0.84,no,unknown,proton,67.6,,,
GtACR1_A,Actinorhodopsin,527.5,277,Mesostigma,low,71.8,6.4,65036,0.665,49.5,7,30.5,6.6,0.49,0.87,no,unknown,,,,,
GtACR2_A,Actinorhodopsin,540.8,291,Mesostigma,medium,42.1,6.9,52059,0.448,19.8,7,32.0,6.0,0.35,0.62,no,unknown,,,,,
GtCCR1_A,Other,503.2,300,Various,high,66.9,7.7,48951,0.445,4.6,7,33.0,5.0,0.6,0.79,no,unknown,,,,,
GtCCR2_A,Other,567.2,240,Various,low,59.9,7.8,78119,0.582,41.9,7,26.4,8.8,0.72,0.75,no,active,,,,,
GtCCR3_A,Other,583.8,300,Various,low,80.1,7.3,33993,0.507,43.2,7,33.0,8.9,0.42,0.92,no,active,,,,,
GtCCR4_A,Other,556.2,265,Various,medium,77.2,6.6,39815,0.404,13.1,7,29.1,6.5,0.59,0.86,no,unknown,,,,,
GtCCR5_A,Other,561.6,371,Various,medium,41.8,6.6,44013,0.434,4.6,7,40.8,7.1,0.52,0.88,no,active,,,,,
H75BPR_D97N_A,Proteorhodopsin,502.9,221,SAR11,high,52.5,7.7,24526,0.216,11.2,7,24.3,6.0,0.8,0.84,no,inactive,proton,461.9,,,
HKR1_A,Other,593.8,1396,Various,low,59.3,7.0,26405,0.335,8.9,7,153.6,7.7,0.49,0.68,no,active,,,,,
HKR2_A,Other,489.0,2410,Various,medium,80.9,6.7,27991,0.153,47.1,7,265.1,6.6,0.59,0.92,yes,unknown,,,,,
HcCCR_A,Other,532.7,240,Various,low,32.6,7.0,66656,0.436,49.3,7,26.4,6.4,0.67,0.74,no,active,,,,,
HcKCR1_A,Other,459.5,255,Various,low,58.3,7.3,64994,0.739,29.5,7,28.1,8.1,0.68,0.73,no,active,,,,,
HcKCR2_A,Other,487.7,259,Various,low,47.7,6.5,72693,0.63,2.8,7,28.5,5.8,0.31,0.77,no,unknown,,,,,
HmBRII_A,Other,496.2,250,Various,high,61.2,7.2,45232,0.649,32.1,7,27.5,8.5,0.75,0.82,no,active,,,,,
HmBRI_D94N_A,Other,545.5,236,Various,medium,75.1,6.2,63583,0.483,22.8,7,26.0,9.1,0.45,0.78,no,inactive,,,,,
HmHR_A,Halorhodopsin,579.2,276,Halobacterium,medium,50.8,8.5,49557,0.33,31.9,7,30.4,5.7,0.34,0.65,yes,active,chloride,22.5,,,
HmSRIII_A,Sensory_rhodopsin,505.6,232,Halobacterium,high,30.0,7.2,60053,0.221,10.0,7,25.5,4.7,0.38,0.7,no,active,,,,phototaxis,light
HmSRII_A,Sensory_rhodopsin,498.4,236,Natronobacterium,high,49.4,6.8,25537,0.437,34.5,7,26.0,7.1,0.38,0.73,yes,unknown,,,,photophobic,light
HmSRI_A,Sensory_rhodopsin,503.9,236,Anabaena,medium,42.7,8.3,34166,0.632,26.8,7,26.0,8.1,0.33,0.65,yes,active,,,,phototaxis,dark
HsBR_A,Other,562.4,222,Various,low,49.6,7.0,26292,0.616,9.5,7,24.4,7.3,0.72,0.63,no,active,,,,,
HsHR_A,Halorhodopsin,576.9,239,Halobacterium,medium,68.5,8.0,49906,0.161,27.1,7,26.3,7.4,0.67,0.75,yes,active,chloride,42.7,,,
HsSRI_A,Sensory_rhodopsin,505.8,239,Natronobacterium,low,23.8,8.3,20452,0.258,18.6,7,26.3,6.9,0.73,0.63,no,active,,,,phototaxis,both
HulaCCR1_A,Other,457.7,428,Various,low,54.7,7.7,79835,0.728,29.0,7,47.1,9.1,0.3,0.94,no,inactive,,,,,
HwBR_A,Other,573.1,254,Various,medium,28.8,8.1,32304,0.778,35.7,7,27.9,5.5,0.67,0.79,no,inactive,,,,,
HwMR_A,Other,463.1,233,Various,medium,94.3,8.3,39238,0.516,18.8,7,25.6,6.8,0.57,0.79,no,active,,,,,
HxAR_A,Other,463.2,258,Various,low,90.8,8.0,26401,0.696,37.4,7,28.4,6.5,0.77,0.95,no,active,,,,,
IaNaR_A,Other,589.0,265,Various,medium,45.9,6.1,66890,0.68,37.6,7,29.1,8.5,0.71,0.67,no,active,,,,,
Jaws_A,Other,586.2,276,Various,medium,80.6,7.1,62826,0.73,31.4,7,30.4,7.2,0.52,0.8,no,active,,,,,
JsNaR_A,Other,529.8,275,Various,low,67.4,6.6,52570,0.402,17.0,7,30.2,8.2,0.65,0.66,no,active,,,,,
KR1_A,Other,561.2,244,Various,medium,69.6,6.4,32272,0.6,25.0,7,26.8,8.3,0.35,0.79,no,active,,,,,
KR2_A,Other,540.6,271,Various,medium,65.8,7.3,49181,0.386,38.7,7,29.8,4.6,0.6,0.8,no,active,,,,,
Kin4B8_A,Other,574.0,255,Various,high,37.3,7.1,37275,0.53,45.6,7,28.1,5.2,0.35,0.69,no,active,,,,,
MacR_A,Actinorhodopsin,518.1,216,Mesostigma,high,44.8,7.8,29152,0.503,30.5,7,23.8,6.6,0.67,0.93,no,active,,,,,
Mac_A,Other,467.0,246,Various,high,93.1,7.0,23285,0.335,40.2,7,27.1,4.5,0.47,0.74,no,unknown,,,,,
Med12BPR_A,Proteorhodopsin,503.9,203,SAR11,medium,62.9,8.3,55224,0.123,45.7,7,22.3,5.7,0.59,0.66,yes,active,proton,401.2,,,
MerMAID1_A,Other,491.6,262,Various,low,56.2,8.4,47539,0.49,43.1,7,28.8,7.2,0.39,0.7,no,active,,,,,
MrHR_A,Halorhodopsin,578.5,223,Natronobacterium,medium,32.7,7.2,57498,0.364,41.9,7,24.5,7.4,0.45,0.85,no,active,chloride,53.3,,,
MsSzR_A,Other,524.6,202,Various,medium,50.5,6.2,65194,0.291,44.9,7,22.2,7.1,0.7,0.94,no,unknown,,,,,
MtSzR_A,Other,511.2,217,Various,medium,44.3,6.6,31766,0.454,30.0,7,23.9,6.2,0.58,0.91,no,inactive,,,,,
NR_A,Other,570.8,304,Various,high,73.7,8.4,76664,0.199,20.6,7,33.4,6.1,0.34,0.82,no,unknown,,,,,
NdR1_A,Other,468.4,253,Various,high,61.3,7.6,62236,0.737,31.4,7,27.8,6.2,0.71,0.73,yes,unknown,,,,,
NdR2_A,Other,501.8,279,Various,medium,69.2,6.5,78472,0.646,6.2,7,30.7,7.3,0.79,0.76,no,active,,,,,
NeoR_A,Other,526.9,509,Various,medium,49.6,7.7,44153,0.253,32.4,7,56.0,6.6,0.37,0.92,no,active,,,,,
NmClR_A,Other,573.4,263,Various,medium,54.9,6.2,44314,0.448,36.2,7,28.9,5.0,0.37,0.69,no,inactive,,,,,
NmNaR_A,Other,487.6,279,Various,medium,75.4,7.2,54397,0.687,20.5,7,30.7,8.4,0.51,0.72,no,active,,,,,
NmPR_A,Proteorhodopsin,493.6,244,Pelagibacter,low,32.1,6.9,63142,0.308,28.5,7,26.8,6.9,0.63,0.93,no,active,proton,64.0,,,
